ID,URL,Thumbnail URL,Game,Vibrant,DarkVibrant,LightVibrant,Muted,DarkMuted,LightMuted,Price,Brief Description,Creator,Creator Itch.IO Page,Status,Updated,Platforms,Publisher,Release date,Rating,Authors,Genre,Made with,Tags,Average session,Languages,Inputs,Accessibility,Links,Number of Ratings
143899,https://brianna-lei.itch.io/butterfly-soup,https://img.itch.zone/aW1hZ2UvMTQzODk5LzgzMTY0OC5wbmc=/315x250%23c/Q6ST2A.png,Butterfly Soup,#cf316d,#9e0c6f,#6f80e4,#94615b,#543533,#a392c6,,Gay girls playing baseball and falling in love,Brianna Lei,https://brianna-lei.itch.io,Released,,"Windows, macOS, Linux",,,4.9,,"Visual Novel, Interactive Fiction",Ren'Py,"2D, Anime, Female Protagonist, LGBT, renpy, Romance, Slice Of Life, Yuri",A few seconds,"Czech, Persian, Japanese, Korean, Polish, Portuguese (Brazil), Chinese (Traditional)",,,,3068
434554,https://gbpatch.itch.io/our-life,https://img.itch.zone/aW1nLzcwMTIxNDMucG5n/315x250%23c/BalGQb.png,​Our Life: Beginnings & Always,#50c290,#1a2e58,#a1e1db,#9f7652,#2c3855,#ceb4a3,,Grow from childhood to adulthood with the lonely boy next door in this near-fully customizable visual novel.,GBPatch,https://gbpatch.itch.io,Released,,"Windows, macOS, Linux, Android",,,4.9,,"Visual Novel, Interactive Fiction",,"amare, Comedy, Dating Sim, Gay, LGBT, Meaningful Choices, Multiple Endings, Otome, Romance",,,,,https://store.steampowered.com/app/1129190/Our_Life_Beginnings__Always/,2491
9041,https://ncase.itch.io/coming-out-simulator-2014,https://img.itch.zone/aW1hZ2UvOTA0MS8yNTg0OC5naWY=/315x250%23cm/gQq%2Byx.gif,Coming Out Simulator 2014,#8d8071,#49423a,#c4bdb5,#86847a,#6c6762,#bcb4ab,,a half-true story about half-truths,Nicky Case!,https://ncase.itch.io,Released,,HTML5,,,4.7,,,,"Gay, LGBT, nar8, Narrative, personal, Queer",,,,,,1808
302222,https://lunarisgames.itch.io/wtnc,https://img.itch.zone/aW1nLzQwNzYzNDAucG5n/315x250%23c/RyNITm.png,When The Night Comes,#73272b,#247464,#dd9b9f,#5aa39f,#513638,#bf9393,$12.99,"When the night comes, death follows...",Lunaris Games,https://lunarisgames.itch.io,Released,29 days ago,"Windows, macOS, Linux",,,4.9,,Visual Novel,,"Dark Fantasy, Horror, LGBT, LGBTQIA, Mystery, Romance, supernatural, unspeakable, Vampire",,,,,,1772
118243,https://laundrybear.itch.io/morticians-tale,https://img.itch.zone/aW1hZ2UvMTE4MjQzLzU0ODI5My5wbmc=/315x250%23c/aNXFau.png,A Mortician's Tale,#8e248a,#6b116a,#d69c7c,#8a6c9c,#573864,#c8b8bd,$8.99,A death-positive game where you play as a mortician tasked with running a funeral home,Laundry Bear Games,https://laundrybear.itch.io,In development,,"Windows, macOS",,,4.6,,Visual Novel,Unity,"death-positive, Female Protagonist, funeral, LGBT, Low-poly, Mouse only, Point & Click, Singleplayer, Story Rich, Unity",A few seconds,English,,"Color-blind friendly, Subtitles","http://store.steampowered.com/app/578720, https://twitter.com/laundry_bear, https://morticianstale.com",1708
415035,https://zephyo.itch.io/missed-message,https://img.itch.zone/aW1nLzIxNTI3NTAuZ2lm/315x250%23cm/b1m9g%2F.gif,missed messages.,#bc4a51,#6c201c,#ec9d8e,#96505a,#602c33,#cba6ac,,"‘goth gf’s iPhone’ airdrops you - accept or decline? A love/horror story about life, death, & memes.",angela he,https://zephyo.itch.io,Released,,"Windows, macOS, Linux",,,4.8,,"Visual Novel, Adventure, Simulation",,"2D, artgame, Horror, LGBT, Ludum Dare 44, Romance, Short",,,,,"https://store.steampowered.com/app/812810/missed_messages/, https://ldjam.com/events/ludum-dare/44/missed-message",1385
226937,https://npckc.itch.io/one-night-hot-springs,https://img.itch.zone/aW1hZ2UvMjI2OTM3LzEwNzcwMDcucG5n/315x250%23c/b4hXQk.png,"one night, hot springs",#bc9464,#5c4428,#ecd4fc,#9a7c5a,#554a46,#c7a7c0,,a young transgender woman goes to the hot springs.,npckc,https://npckc.itch.io,Released,1 day ago,"Windows, macOS, Linux",,,4.8,,"Visual Novel, Interactive Fiction",Ren'Py,"2D, Cute, Female Protagonist, friendship, LGBT, Multiple Endings, renpy, Transgender, Yuri",About a half-hour,"German, English, Spanish; Castilian, Spanish; Latin America, Indonesian, Japanese, Korean, Polish, Portuguese (Brazil), Russian, Vietnamese, Chinese, Chinese (Simplified), Chinese (Traditional)","Keyboard, Mouse, Gamepad (any), Touchscreen","Color-blind friendly, Subtitles, One button","https://store.steampowered.com/app/1688580/A_YEAR_OF_SPRINGS, https://npckc.site, https://twitter.com/npckc, https://patreon.com/npckc",896
41399,https://nomnomnami.itch.io/syrup-and-the-ultimate-sweet,https://img.itch.zone/aW1nLzMwODQxNDYucG5n/315x250%23c/kpgAoi.png,Syrup and the Ultimate Sweet,#cb7631,#6a3e19,#f18aac,#9b5069,#372b33,#bba7b4,,a visual novel about a candy alchemist who one day finds a candy golem in her basement workshop,NomnomNami,https://nomnomnami.itch.io,Released,,"Windows, macOS, Linux",,,4.8,,"Visual Novel, Interactive Fiction","Ren'Py, Clip Studio Paint","2D, Anime, Cute, Fantasy, Female Protagonist, LGBT, Multiple Endings, renpy",About a half-hour,"German, English, Spanish; Castilian, Spanish; Latin America, French, Japanese, Korean, Polish, Portuguese (Brazil), Vietnamese, Chinese, Chinese (Simplified)","Keyboard, Mouse, Gamepad (any)",One button,"https://mockoff.bandcamp.com/album/syrup-and-the-ultimate-sweet-ost, https://www.patreon.com/nomnomnami, https://twitter.com/nomnomnami",896
59325,https://nomnomnami.itch.io/her-tears-were-my-light,https://img.itch.zone/aW1hZ2UvNTkzMjUvODE2MzY3LmdpZg==/315x250%23cm/ayW1Az.gif,her tears were my light,#4f2fcf,#140c34,#cdc0e7,#7b748c,#333454,#c8b79f,,a short love story about time and space,NomnomNami,https://nomnomnami.itch.io,Released,,"Windows, macOS, Linux",,,4.8,,"Visual Novel, Interactive Fiction","Ren'Py, LMMS, Clip Studio Paint, FL Studio","2D, Anime, Female Protagonist, Lesbian, LGBT, renpy, Romance, Space, Time Travel",About a half-hour,"German, English, Spanish; Castilian, French, Italian, Japanese, Korean, Polish, Portuguese (Portugal), Russian, Thai, Vietnamese, Chinese","Keyboard, Mouse, Gamepad (any)",,"https://lydianchord.bandcamp.com/album/her-tears-were-my-light-soundtrack, https://www.patreon.com/nomnomnami, https://twitter.com/nomnomnami",833
664210,https://anya-writes.itch.io/scout-an-apocalypse-story,https://img.itch.zone/aW1nLzM1ODA5NjMucG5n/315x250%23c/wJOUc%2B.png,Scout: An Apocalypse Story,#c4623a,#641e0d,#e49062,#a0755c,#5f3f2f,#823c16,,A text choice romance in an apocalyptic setting.,Anya,https://anya-writes.itch.io,On hold,,"Windows, macOS, Linux, HTML5",,,4.9,,Interactive Fiction,Twine,"Dating Sim, Female Protagonist, LGBT, Male protagonist, Otome, Post-apocalyptic, Romance, Story Rich, Text based",A few seconds,English,"Mouse, Smartphone",High-contrast,,784
